num_arms,min_gap,num_threads,epsilon,delta,elapsed,pulls,solved
1000,0.4,128,0.001,0.01,227,511616,1
1000,0.2,1,0.2,0.1,36,1652114,1
1000,0.2,8,0.2,0.1,408,1506072,1
1000,0.2,16,0.2,0.1,444,1678384,1
1000,0.2,32,0.2,0.1,497,1678080,1
1000,0.2,64,0.2,0.1,585,1724160,1
1000,0.2,128,0.2,0.1,675,1761280,1
1000,0.2,1,0.2,0.05,38,1721775,1
1000,0.2,8,0.2,0.05,374,1717440,1
1000,0.2,16,0.2,0.05,381,1708144,1
1000,0.2,32,0.2,0.05,371,1450880,1
1000,0.2,64,0.2,0.05,566,1642816,1
1000,0.2,128,0.2,0.05,623,1641216,1
1000,0.2,1,0.2,0.01,35,1619612,1
1000,0.2,8,0.2,0.01,464,1921800,1
1000,0.2,16,0.2,0.01,502,1956096,1
1000,0.2,32,0.2,0.01,272,957184,1
1000,0.2,64,0.2,0.01,573,1665536,1
1000,0.2,128,0.2,0.01,750,2043392,1
1000,0.2,1,0.1,0.1,42,1656067,1
1000,0.2,8,0.1,0.1,366,1365400,1
1000,0.2,16,0.1,0.1,423,1673168,1
1000,0.2,32,0.1,0.1,373,1395200,1
1000,0.2,64,0.1,0.1,594,1747712,1
1000,0.2,128,0.1,0.1,649,1715200,1
1000,0.2,1,0.1,0.05,41,1725928,1
1000,0.2,8,0.1,0.05,386,1475744,1
1000,0.2,16,0.1,0.05,402,1503632,1
1000,0.2,32,0.1,0.05,521,1802688,1
1000,0.2,64,0.1,0.05,596,1689856,1
1000,0.2,128,0.1,0.05,604,1589120,1
1000,0.2,1,0.1,0.01,43,1877912,1
1000,0.2,8,0.1,0.01,447,1929200,1
1000,0.2,16,0.1,0.01,426,1911456,1
1000,0.2,32,0.1,0.01,515,2016000,1
1000,0.2,64,0.1,0.01,664,1981952,1
1000,0.2,128,0.1,0.01,706,1889792,1
1000,0.2,1,0.01,0.1,32,1389255,1
1000,0.2,8,0.01,0.1,328,1204632,1
1000,0.2,16,0.01,0.1,421,1653888,1
1000,0.2,32,0.01,0.1,339,1227520,1
1000,0.2,64,0.01,0.1,603,1724160,1
1000,0.2,128,0.01,0.1,480,1195520,1
1000,0.2,1,0.01,0.05,29,1274897,1
1000,0.2,8,0.01,0.05,419,1589952,1
1000,0.2,16,0.01,0.05,431,1712128,1
1000,0.2,32,0.01,0.05,481,1764288,1
1000,0.2,64,0.01,0.05,627,1787968,1
1000,0.2,128,0.01,0.05,689,1825664,1
1000,0.2,1,0.01,0.01,32,1426256,1
1000,0.2,8,0.01,0.01,441,1667240,1
1000,0.2,16,0.01,0.01,476,1929312,1
1000,0.2,32,0.01,0.01,305,1083520,1
1000,0.2,64,0.01,0.01,582,1714688,1
1000,0.2,128,0.01,0.01,749,2024960,1
1000,0.2,1,0.001,0.1,36,1630591,1
1000,0.2,8,0.001,0.1,408,1600640,1
1000,0.2,16,0.001,0.1,417,1664480,1
1000,0.2,32,0.001,0.1,435,1603840,1
1000,0.2,64,0.001,0.1,579,1707520,1
1000,0.2,128,0.001,0.1,668,1760000,1
1000,0.2,1,0.001,0.05,22,1004092,1
1000,0.2,8,0.001,0.05,454,1725744,1
1000,0.2,16,0.001,0.05,324,1292480,1
1000,0.2,32,0.001,0.05,466,1746560,1
1000,0.2,64,0.001,0.05,609,1781248,1
1000,0.2,128,0.001,0.05,690,1843968,1
1000,0.2,1,0.001,0.01,24,1122200,1
1000,0.2,8,0.001,0.01,389,1578440,1
1000,0.2,16,0.001,0.01,472,1992384,1
1000,0.2,32,0.001,0.01,500,1919744,1
1000,0.2,64,0.001,0.01,301,779264,1
1000,0.2,128,0.001,0.01,738,1986560,1
1000,0.1,1,0.2,0.1,72,3222232,1
1000,0.1,8,0.2,0.1,1674,6678928,0
1000,0.1,16,0.2,0.1,1296,4950080,0
1000,0.1,32,0.2,0.1,1807,6379968,0
1000,0.1,64,0.2,0.1,2051,6624384,0
1000,0.1,128,0.2,0.1,2347,7040000,0
1000,0.1,1,0.2,0.05,161,7169156,0
1000,0.1,8,0.2,0.05,1701,6539000,0
1000,0.1,16,0.2,0.05,1245,4811792,1
1000,0.1,32,0.2,0.05,1674,5854976,0
1000,0.1,64,0.2,0.05,1806,5754880,1
1000,0.1,128,0.2,0.05,1381,3967488,1
1000,0.1,1,0.2,0.01,125,5577016,1
1000,0.1,8,0.2,0.01,1916,7899792,0
1000,0.1,16,0.2,0.01,1696,6936240,0
1000,0.1,32,0.2,0.01,1832,6942272,1
1000,0.1,64,0.2,0.01,1378,4284416,1
1000,0.1,128,0.2,0.01,2669,8026112,0
1000,0.1,1,0.1,0.1,166,6697294,1
1000,0.1,8,0.1,0.1,2145,8436448,1
1000,0.1,16,0.1,0.1,1530,5935904,1
1000,0.1,32,0.1,0.1,1250,4611744,1
1000,0.1,64,0.1,0.1,2236,7167872,1
1000,0.1,128,0.1,0.1,2724,8174464,1
1000,0.1,1,0.1,0.05,117,5154724,1
1000,0.1,8,0.1,0.05,1717,6848280,1
1000,0.1,16,0.1,0.05,1751,7065904,1
1000,0.1,32,0.1,0.05,2190,8034048,1
1000,0.1,64,0.1,0.05,2299,7368192,1
1000,0.1,128,0.1,0.05,2631,7915136,1
1000,0.1,1,0.1,0.01,166,7340694,1
1000,0.1,8,0.1,0.01,2107,8075952,1
1000,0.1,16,0.1,0.01,1940,7640320,1
1000,0.1,32,0.1,0.01,2621,9802464,1
1000,0.1,64,0.1,0.01,2626,8443584,1
1000,0.1,128,0.1,0.01,2217,6563840,1
1000,0.1,1,0.01,0.1,120,5348950,1
1000,0.1,8,0.01,0.1,1581,6048760,1
1000,0.1,16,0.01,0.1,1731,6903344,1
1000,0.1,32,0.01,0.1,2105,7860416,1
1000,0.1,64,0.01,0.1,1339,4189312,1
1000,0.1,128,0.01,0.1,2171,6436480,1
1000,0.1,1,0.01,0.05,190,8340502,1
1000,0.1,8,0.01,0.05,2138,8133880,1
1000,0.1,16,0.01,0.05,1890,7330752,1
1000,0.1,32,0.01,0.05,1846,6804736,1
1000,0.1,64,0.01,0.05,2102,6729088,1
1000,0.1,128,0.01,0.05,2408,7204864,1
1000,0.1,1,0.01,0.01,171,7614834,1
1000,0.1,8,0.01,0.01,1469,5979552,1
1000,0.1,16,0.01,0.01,2294,8797904,1
1000,0.1,32,0.01,0.01,2045,7510688,1
1000,0.1,64,0.01,0.01,2575,8289088,1
1000,0.1,128,0.01,0.01,2612,7799808,1
1000,0.1,1,0.001,0.1,106,4759828,1
1000,0.1,8,0.001,0.1,2710,10692040,1
1000,0.1,16,0.001,0.1,3755,14792048,1
1000,0.1,32,0.001,0.1,1892,6941376,1
1000,0.1,64,0.001,0.1,2051,6494720,1
1000,0.1,128,0.001,0.1,1191,3361152,1
1000,0.1,1,0.001,0.05,123,5526956,1
1000,0.1,8,0.001,0.05,2552,9972040,1
1000,0.1,16,0.001,0.05,1836,7777280,1
1000,0.1,32,0.001,0.05,1293,4918976,1
1000,0.1,64,0.001,0.05,2314,7441280,1
1000,0.1,128,0.001,0.05,2483,7437696,1
1000,0.1,1,0.001,0.01,155,6938004,1
1000,0.1,8,0.001,0.01,2873,11095728,1
1000,0.1,16,0.001,0.01,3705,14711872,1
1000,0.1,32,0.001,0.01,1513,5328704,1
1000,0.1,64,0.001,0.01,2538,8134144,1
1000,0.1,128,0.001,0.01,2562,7669760,1
